address	city	county	dateAvailable	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	virtualVisit	zip	zipCodeLat	zipCodeLng
500 Lincoln Street Worcester, Ma 01605	Worcester	Middlesex	-	Urgent Care	8Am-8Pm, Monday-Sunday; Check Website For Updates.	No	This Facility Follows Guidelines For Testing Based On The Centers For Disease Control And Prevention (Cdc) And The Massachusetts Department Of Public Health. They Advise To Call Your Provider, Or Their Urgent Care Facility For Evaluation Of Your Symptoms. From There, They Work With Both Commercial And State Labs To Facilitate The Testing.	-	-	Carewell Urgent Care-Worcester Lincoln St	(774) 420-2111	Massachusetts	Https://Www.Carewellurgentcare.Com/Covid-19-Response-At-Carewell/	No	01605	42.29	-71.8
4 Broadway Road	Dracut	Middlesex	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01826	42.69	-71.31
1080 Eastern Avenue	Malden	Middlesex	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02148	42.43	-71.05
800 Lexington Street, Waltham, Ma 02154	Waltham	Middlesex	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02154		
Showcase Cinemas, 32 Reiss Ave, Lowell, Ma 01851	Lowell	Middlesex	-	Drive-Thru	9 Am - 5 Pm	-	Testing Is By Appointment Only. You Can Sign Up On Their Website To Schedule A Same-Day Slot For Testing At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing. Patients Must Be 18 Years Or Older And Testing Is For Massachussets State Residents Only. When You Go To Testing: Bring Proof Of Identity And In-State Residence, As Well As Your Test Confirmation Email Or Text Message. Be Sure To Have Your Mobile Phone In Case The Provider Needs To Reach You. When You Arrive, Stay In Your Car. They Will Check Your Paperwork And Walk You Through The Test.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01851	42.62	-71.34
111 Grossman Dr, Braintree, Ma 02184	Braintree	Norfolk	-	Drive-Thru	-	-	Call Your Primary Care Physician If You Are Experiencing Symptoms Of Shortness Of Breath, Fever Or Dry Cough Or Have Been Exposed To Someone With Covid-19.  If Your Symptoms Meet The Criteria For Testing, Your Physician Will Give You A Referral. The Drive-Through Testing Is Only For Atrius Patients Who Have Already Phoned, Been Evaluated And Given An Appointment.	-	-	Atrius Health: Braintree Site	-	Massachusetts	Https://Www.Wbur.Org/Commonhealth/2020/03/17/Drive-Through-Coronavirus-Tests-Boston	-	02184	42.2	-71.01
922 Highland Avenue Needham, Ma 02494	Needham	Norfolk	-	Urgent Care	8Am-8Pm, Monday-Sunday; Check Website For Updates.	No	This Facility Follows Guidelines For Testing Based On The Centers For Disease Control And Prevention (Cdc) And The Massachusetts Department Of Public Health. They Advise To Call Your Provider, Or Their Urgent Care Facility For Evaluation Of Your Symptoms. From There, They Work With Both Commercial And State Labs To Facilitate The Testing.	-	-	Carewell Urgent Care-Needham	(781) 400-1383	Massachusetts	Https://Www.Carewellurgentcare.Com/Covid-19-Response-At-Carewell/	No	02494	42.3	-71.22
370 Pulaski Boulevard Bellingham, Ma 02019	Bellingham	Norfolk	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02019	42.08	-71.47
480 North Franklin Street, Holbrook, Ma 02343	Holbrook	Norfolk	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02343	42.14	-71.01
842 South Franklin Street, Holbrook, Ma 02343	Holbrook	Norfolk	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02343	42.14	-71.01
652 South Street, Wrentham, Ma 02093	Wrentham	Norfolk	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02093	42.05	-71.37
42 Washington St. Norwell, Ma 02061	Norwell	Plymouth	-	Urgent Care	8Am-8Pm, Monday-Sunday; Check Website For Updates.	No	This Facility Follows Guidelines For Testing Based On The Centers For Disease Control And Prevention (Cdc) And The Massachusetts Department Of Public Health. They Advise To Call Your Provider, Or Their Urgent Care Facility For Evaluation Of Your Symptoms. From There, They Work With Both Commercial And State Labs To Facilitate The Testing.	-	-	Carewell Urgent Care-Norwell	(781) 421-3503	Massachusetts	Https://Www.Carewellurgentcare.Com/Covid-19-Response-At-Carewell/	No	02061	42.15	-70.82
9-19 Summer Street, Bridgewater, Ma 02324	Bridgewater	Plymouth	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02324	41.97	-70.98
100D North Main Street, Carver, Ma 02330	Carver	Plymouth	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02330	41.9	-70.8
4 Jersey St, Boston, Ma 02215	Boston	Suffolk	-	Drive-Thru	Call To Confirm	-	To Be Tested For Covid-19 At This Facility, You Must Have A Doctor'S Referral	-	-	Atrius Health: Parking Garage Near Fenway Park	(617) 421-2933	Massachusetts	-	-	02215	42.34	-71.1
1010 Revere Beach Parkway, Chelsea, Ma 02150	Chelsea	Suffolk	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	02150	42.4	-71.03
55 Fruit Street, Boston, Ma 02114	Boston	Suffolk	-	Hospital	Open 24Hrs	-	To Be Tested For Covid-19 At This Facility, You Must Have A Doctor'S Referral.	-	-	Massachusetts General Hospital	(617) 726-2000	Massachusetts	Https://Www.Bostonglobe.Com/2020/03/17/Metro/Coronavirus-Testing-Transparency-Ramp-Up-Still-Lag-Recommended-Levels/	-	02114	42.363	-71.066
525 William F Mcclellan Hwy, Boston, Ma 02128	Boston	Suffolk	-	Drive-Thru	-	-	First Responders (Emts, Fire Fighters, And Police Officers) Only Are Being Tested At This Site. To Make An Appointment, Patients Must Meet The Requirements For Symptoms Outlined By The State.	-	-	Suffolk Downs	-	Massachusetts	Https://Www.Wbur.Org/Commonhealth/2020/03/27/First-Responders-Testing-Covid-19-Suffolk-Downs	-	02128	42.37	-71.02
380 John Fitch Highway Fitchburg, Ma 01420	Fitchburg	Worcester	-	Urgent Care	8Am-8Pm, Monday-Sunday; Check Website For Updates.	No	This Facility Follows Guidelines For Testing Based On The Centers For Disease Control And Prevention (Cdc) And The Massachusetts Department Of Public Health. They Advise To Call Your Provider, Or Their Urgent Care Facility For Evaluation Of Your Symptoms. From There, They Work With Both Commercial And State Labs To Facilitate The Testing.	-	-	Carewell Urgent Care- Fichburg	(978) 696-3547	Massachusetts	Https://Www.Carewellurgentcare.Com/Covid-19-Response-At-Carewell/	No	01420	42.59	-71.81
333 Southwest Cutoff Northborough, Ma 01532	Northborough	Worcester	-	Urgent Care	8Am-8Pm, Monday-Sunday; Check Website For Updates.	No	This Facility Follows Guidelines For Testing Based On The Centers For Disease Control And Prevention (Cdc) And The Massachusetts Department Of Public Health. They Advise To Call Your Provider, Or Their Urgent Care Facility For Evaluation Of Your Symptoms. From There, They Work With Both Commercial And State Labs To Facilitate The Testing.	-	-	Carewell Urgent Care-Northborough	(508) 466-8677	Massachusetts	Https://Www.Carewellurgentcare.Com/Covid-19-Response-At-Carewell/	No	01532	42.32	-71.63
348 Greenwood Street Worcester, Ma 01607	Worcester	Worcester	-	Urgent Care	8Am-8Pm, Monday-Sunday; Check Website For Updates.	No	This Facility Follows Guidelines For Testing Based On The Centers For Disease Control And Prevention (Cdc) And The Massachusetts Department Of Public Health. They Advise To Call Your Provider, Or Their Urgent Care Facility For Evaluation Of Your Symptoms. From There, They Work With Both Commercial And State Labs To Facilitate The Testing.	-	-	Carewell Urgent Care-Worcester Greenwood St	(774) 420-2103	Massachusetts	Https://Www.Carewellurgentcare.Com/Covid-19-Response-At-Carewell/	No	01607	42.23	-71.79
481 Lincoln Street Worcester, Ma 01601	Worcester	Worcester	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01601		
246 Mill Street	Leominster	Worcester	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01453	42.52	-71.77
301 Central Street, Winchendon, Ma 01475	Winchendon	Worcester	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01475	42.66	-72.05
720 Boston Turnpike Road, Shrewsbury, Ma 01545	Shrewsbury	Worcester	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01545	42.29	-71.71
142 Worcester Road, Charlton, Ma 01507	Charlton	Worcester	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01507	42.13	-71.97
44 West Boylston Street, Worcester, 01608	Worcester	Worcester	-	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Massachusetts	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	-	01608	42.26	-71.8
720 Boston Turnpike, Shrewsbury, Ma 01545	Shrewsbury	Worcester	-	Drive-Thru	Call To Confirm	-	At This Time, Testing Is Limited And Only For First Responders And Medical Professionals.	-	-	Cvs Pharmacy Shrewsbury	(508) 845-6009	Massachusetts	Https://Boston.Cbslocal.Com/2020/03/18/Coronavirus-Drive-Thru-Testing-Shrewsbury-Cvs/	-	01545	42.29	-71.71
123 Summer St, Worcester, Ma 01608	Worcester	Worcester	-	Drive-Thru	Call To Confirm	-	To Be Tested For Covid-19 At This Facility, You Must Be Pre-Screened And Referred By A Physician.	-	-	Saint Vincent Hospital	(508) 363-5000	Massachusetts	Https://Www.Masslive.Com/Coronavirus/2020/03/Coronavirus-Testing-Locations-Drive-Thru-Testing-Has-Begun-In-Massachusetts-But-Many-Require-Appointments-Prescription-From-Doctor.Html	-	01608	42.26	-71.8
55 Lake Avenue North, Worcester, Ma 01655; Umass Medical School Parking Garage	Worcester	Worcester	-	Drive-Thru	8 Am - 5Pm Monday - Friday	-	The Drive-Thru Testing Is Available To Pre-Screened Patients Who Have Reported Their Symptoms To A Umass Healthcare Provider And Have Been Referred To Testing. Contact Your Umass Healthcare Provider To Be Screened.	-	-	Umass Medical Center, University Campus	(508) 334-1000	Massachusetts	Https://Www.Telegram.Com/News/20200318/Drive-Thru-Coronavirus-Testing-At-Umass-Memorial-Has-Light-Volume-On-First-Day	-	01655		
