address	city	county	dateAvailable	facilityType	hours	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
12380 St. Charles Rock Road Bridgeton, Mo 63044	Bridgeton	Saint Louis	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63044	38.77	-90.42
10820 Manchester Road Kirkwood, Mo 63122	Kirkwood	Saint Louis	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63122	38.58	-90.42
7320 Gravois Avenue St. Louis, Mo 63116	St. Louis	Saint Louis City	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63116	38.58	-90.27
1860 N Church Rd, Liberty, Mo 64068	Liberty	Saline	Https://Www.Fitzgibbon.Org/	Drive-Thru	24 Hours	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Facility. Please Pull Up To The Curbside Of The Emergency Department And Stay In Your Car Until A Healthcare Professional Comes To Your Window.	-	-	Fitzgibbon Hospital	(816) 415-2828	Missouri	-	64068	39.3	-94.4
3002 Highway K O'Fallon, Mo 63368	O'Fallon	St. Charles	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63368	38.75	-90.73
9141 Olive Boulevard	Olivette	St. Louis	-	Drive-Thru	See Website For Available Appointment Times	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Missouri	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	63132	38.68	-90.38
15740 S. Outer Forty Road, Chesterfield, Missouri	Chesterfield	St. Louis	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	Drive-Thru	Call To Confirm	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, Please Call Mercy’S Clinical Support Line At (314)-251-0500 To Be Screened. If Instructed, You May Visit The Drive-Thru Testing Site.	-	-	Mercy Hospital	(314) 251-0500	Missouri	Https://Www.Mercy.Net/Service/Covid-19/?Utm_Source=Alert&Utm_Medium=Website&Utm_Campaign=Covid_19	63017	38.67	-90.53
10010 Kennerly Rd, St. Louis, Mo 63128	St. Louis	St. Louis	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	Hospital	Call To Confirm	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, Please Call Mercy’S Clinical Support Line At (314)-251-0500 To Be Screened. If Instructed, You May Visit The Drive-Thru Testing Site.	-	-	Mercy Hospital South	(314) 525-1000	Missouri	-	63128	38.49	-90.38
232 S Woods Mill Rd, Chesterfield, Mo 63017	Chesterfield	St. Louis	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	Hospital	Call To Confirm	Tests Require A Referral From Your Doctor. Once You'Re Tested, Your Doctor Will Be Contacted With Information Regarding Next Steps.	-	-	Saint Luke’S Hospital	(816) 251-6100	Missouri	-	63017	38.67	-90.53
 100 Medical Plaza, Lake St Louis, Mo 63367	Lake St Louis	St. Louis	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	Hospital	Call To Confirm	If You Have Developed Symptoms Such As Fever, Cough, And/Or Difficulty Breathing, And Have Been In Close Contact With A Person Known To Have Covid-19, You May Be Tested At This Location.	-	-	Ssm St. Joseph Hospital-Lake St. Louis	(636) 625-5200	Missouri	-	63367	38.77	-90.79
915 N Grand Blvd, St. Louis, Mo 63106	St. Louis	St. Louis	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	Hospital	Call To Confirm	Tests Require A Referral From Your Doctor.	-	-	Va St. Louis Health Care System	(314) 652-4100	Missouri	-	63106	38.64	-90.21
630 W 3Rd St, Milan, Mo 63556	Milan	Sullivan	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	Hospital	24 Hours	Tests Require A Referral From Your Doctor.	-	-	Sullivan County Memorial Hospital	(314) 652-4100	Missouri	-	63556	40.2	-93.1
901 E Fifth St, Washington, Mo 63090	Washington	Washington	Https://Health.Mo.Gov/Living/Healthcondiseases/Communicable/Novel-Coronavirus/Mobile-Testing.Php	-	Call To Confirm	To Qualify For Covid-19 Testing, You Must Display Clear Symptoms Such As Fever, Dry Cough, Or Shortness Of Breath. If You Have Recently Travelled Internationally Or Have Been In Contact With People That Have Recently Travelled Internationally, Contact Your Primary Care Physician First And Follow Their Instructions.	-	-	Mercy Hospital Washington	(636) 239-8000	Missouri	-	63090	38.5	-91.0
