Long	address	city	county	dateAvailable	facilityType	hours	instructions	lat	name	notes	phone	state	url	zip	zipCodeLat	zipCodeLong
-	105 Highway 80 East, Demopolis, Al 36732	Demopolis	Marengo	-	Drive-Thru	9 Am - 1 Pm Daily	You Need An Order From A Physician In Order To Be Tested At This Site.	-	Whitfield Regional Hospital	-	(334) 289-4000	Alabama	Https://Www.Alabamanews.Net/2020/03/17/Coronavirus-Testing-Center-Opens-In-Demopolis/	36732	32.4	-87.9
-	1420 N. Brindlee Mountain Pkwy., Suite A-1, Arab, Al 35016	Arab	Marshall	-	Clinic	8Am - 8Pm Monday - Friday;  9Am - 4Pm Saturday & Sunday	Located In Front Of Walmart On Hwy 231 In Arab. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(256) 677-4553	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	35016	34.3	-86.5
-	150 Judy Smith Drive, Guntersville, Al 35976	Guntersville	Marshall	-	Drive-Thru	12:30 Pm - 4:30 Pm Monday - Friday	You Must Call To Schedule Testing At 256-582-3656. For Testing, You Must Be Symptomatic And One Of The Following: Be A Healthcare Worker; Age 65 Or Older; Have A Pre-Existing Medical Condition Or Immunosuppressed; Have Moderate To Severe Symptoms Or Worsening Symptoms.  Asymptomatic Patients Will Not Be Tested. Health Officials Say This Could Present False Negative Results. If You Have Any Questions About Meeting Testing Criteria Or Need To Call To Make An Appointment, Call 256-582-3656. You Must Bring Your Id. Directions For Testing Will Be Provided When You Arrive At The Health Department. Do Not Get Out Of Your Vehicle. Testing Will Be Done While You Are In Your Car At The Back Of The Building.	-	Marshall County Health Department	-	(256)582-3656	Alabama	Https://Www.Waff.Com/2020/04/13/Marshall-County-Health-Department-Expanding-Covid-Testing/	35976	34.3	-86.3
-	216 E. Prichard Ave, Prichard, Al 36610	Prichard	Mobile	-	Drive-Thru	8:30Am-3:00Pm	This Testing Site In Prichard Is Open To The Public. Those With Symptoms Will Be Tested With Or Without Insurance. If You'D Like To Be Tested, You Must Be Screened Over The Phone First And Then You'Ll Be Told When To Go. If You'Re Experiencing Symptoms Of Covid-19, Call 251-444-1122.	-	A.J. Cooper Municipal Complex (Franklin Mobile Unit)	-	(251) 444-1122	Alabama	Https://Www.Fox10Tv.Com/News/Coronavirus/Franklin-Primary-Health-Center-Opening-Free-Covid-19-Test-Site-In-Prichard-Monday/Article_3Adf5B2E-80Ef-11Ea-Bb1F-Af407Bea898D.Html	36610	30.73	-88.08
-	216 E Prichard Ave, Prichard, Al 36610	Prichard	Mobile	-	Drive-Thru	-	If You Have Been Exposed To Someone That Tested Positive For The Coronavirus (Covid-19) Or Traveled To A High Risk Area And Are Exhibiting Symptoms Such As Fever, Cough Or Shortness Of Breath, You May Be Eligible For Testing.  Please Call Our Coronavirus Evaluation Hotline At 251-444-1122 For A Phone Evaluation. Please Note That All Patients Must Complete A Phone Screening Prior To Testing.  If You Meet The Criteria For Testing, Our Staff Will Collect Additional Information Over The Phone And You Will Be Assigned An Appointment Time For Your Test.	-	Franklin Medical And Dental Express	-	(251) 444-1122	Alabama	Https://Franklinprimary.Org/Covid-19/	36610	30.73	-88.08
-	1303 Martin Luther King Jr. Avenue, Mobile, Al 36603	Mobile	Mobile	-	Drive-Thru	-	If You Have Been Exposed To Someone That Tested Positive For The Coronavirus (Covid-19) Or Traveled To A High Risk Area And Are Exhibiting Symptoms Such As Fever, Cough Or Shortness Of Breath, You May Be Eligible For Testing.  Please Call Our Coronavirus Evaluation Hotline At 251-444-1122 For A Phone Evaluation. Please Note That All Patients Must Complete A Phone Screening Prior To Testing.  If You Meet The Criteria For Testing, Our Staff Will Collect Additional Information Over The Phone And You Will Be Assigned An Appointment Time For Your Test.	-	Franklin Medical Mall	-	(251) 444-1122	Alabama	Https://Franklinprimary.Org/Covid-19/	36603	30.68	-88.05
-	2350 Schillinger Rd S, Suite A, Mobile, Al, 36695	Mobile	Mobile	-	Urgent Care	6 Am - 11 Pm Monday - Friday; 8 Am - 5 Pm Saturday & Sunday	Testing Is Taking Place Outside Of The Clinic. Call To Make An Appointment.	-	Greater Mobile Urgent Care	-	(251) 633-0123	Alabama	Https://Www.Fox10Tv.Com/News/Mobile-Urgent-Care-Begins-Testing-For-Covid/Article_4C444152-6D37-11Ea-8A67-Ff15Ee776De2.Html	36695	30.63	-88.29
-	7943 Moffett Rd, Semmes, Al 36575	Semmes	Mobile	-	Urgent Care	8 Am - 7:30 Pm Monday - Friday; 8 Am - 3:30 Saturday & Sunday	Testing Is Taking Place Outside Of The Clinic. Call To Make An Appointment.	-	Greater Mobile Urgent Care - Semmes	-	(251) 633-0123	Alabama	Https://Www.Fox10Tv.Com/News/Mobile-Urgent-Care-Begins-Testing-For-Covid/Article_4C444152-6D37-11Ea-8A67-Ff15Ee776De2.Html	36575	30.79	-88.28
-	6280 Grelot Road, Mobile, Al 36609	Mobile	Mobile	-	Clinic	12Pm - 10Pm Monday - Friday;  9Am - 9Pm Saturday & Sunday	Located In Front Of Winn-Dixie On Grelot Road. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(251) 288-5606	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	36609	30.66	-88.16
-	1195 South Alabama Ave., Monroeville, Al 36460	Monroeville	Monroe	-	Clinic	8Am - 8Pm Monday - Friday;  8Am - 6Pm Saturday; 1Pm - 6Pm Sunday	Located Two Blocks From Piggly Wiggly On South Alabama Ave. In Monroeville. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(251) 743-2560	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	36460	31.5	-87.3
-	Montgomery, Al	Montgomery	Montgomery	-	Drive-Thru	8 Am - 5 Pm Monday - Friday; 10 Am - 2 Pm Saturday & Sunday	They Are Only Testing Symptomatic Individuals With An Appointment. To Make An Appointment: If Symptomatic, Call (334) 747-0150 To Schedule A Phone Consultation. You Can Call This Line 24/7. If You Are Deemed Necessary To Have A Test,  An Appointment Will Be Provided, Along With Location. Drive To Your Scheduled Appointment. Park In Designated Testing Space. Wait Inside Your Car Where The Screening Will Be Administered.	-	Baptist Health, Montgomery	-	(334) 747-0150	Alabama	Https://Www.Baptistfirst.Org/Services/Coronavirus-Care-Clinic	-	-	-
-	6495 Atlanta Hwy, Montgomery, Al 36117	Montgomery	Montgomery	-	Drive-Thru	9 Am - 4 Pm Daily	A Drive-Thru Covid-19 Testing Site For All Health Care Providers And First Responders And Anyone Exhibiting Symptoms Of The Covid-19 Virus. All Appointments Will Be Drive-Thru, Observed Self-Collection In The Walmart Parking Lot. Quest’S Myquest™ Online Portal Will Screen And Schedule Those Individuals Who Meet The Cdc Eligibility. To Be Tested, Individuals Must Have A Scheduled Appointment From Myquest™ And No Walk-Ups Will Be Seen. The Testing Site Is Supported By Walmart, Quest Diagnostics And State And Local Officials.  You Must First Qualify For Covid-19 Screening And Schedule An Appointment At: Www.Myquestcovidtest.Com.  If You Have Any Questions Regarding Your Scheduled Appointment, Please Call Quest’S Dedicated Covid-19 Line At (866) 448-7719.	-	Quest Diagnostics At Walmart Covid Drive-Thru	-	(866) 448-7719	Alabama	Https://Corporate.Walmart.Com/Covid19Testing	36117	32.37	-86.14
-	1330 Highway 231, South Troy, Al 36081	Troy	Pike	-	Clinic	Monday-Sunday 24/7	Call And They Will Do A Phone Consult. Based On Your Symptoms They Decide If You Are Eligible For A Test.	-	Troy Regional Medical Center	-	(334) 670-5409	Alabama	Https://Covid19.Alabama.Gov/Locations?Query=Testing+Centers+In+Alabama	36081	31.8	-86.0
-	300 Big Mountain Road, Pelham, Al 35124	Pelham	Shelby	-	Clinic	12Pm - 10Pm Monday - Friday;  9Am - 9Pm Saturday & Sunday	Located Next To Aldi On Hwy 31 In Pelham. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(205) 644-8289	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	35124	33.31	-86.77
-	2211 Moody Parkway, Moody, Al 35004	Moody	St. Clair	-	Clinic	8Am - 8Pm Monday - Friday;  8Am - 6Pm Saturday & Sunday	Located Next To Bojangles On Hwy 411 In Moody. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(205) 352-2480	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	35004	33.62	-86.5
-	40900 Us Hwy 280, Sylacauga, Al 35150	Sylacauga	Talladega	-	Clinic	8Am - 8Pm Monday - Friday;  9Am - 5Pm Saturday & Sunday	Located Next To Huddle House On Hwy 280 In Sylacauga. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(256) 369-0022	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	35150	33.2	-86.2
-	837 E. Battle Street, Talladega, Al 35160	Talladega	Talladega	-	Clinic	8Am - 8Pm Monday - Friday;  8Am - 6Pm Saturday; 1Pm - 6Pm Sunday	Located One Block From Walmart, In Front Of Dollar General In Talladega. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(256) 649-8134	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	35160	33.4	-86.1
-	2508 Us Hwy 280, Alexander City, Al 35010	Alexander City	Tallapoosa	-	Clinic	8Am - 8Pm Monday - Friday;  8Am - 6Pm Saturday; 1Pm - 6Pm Sunday	Located Across From Walmart On Hwy 280 In Alex City. You May Walk In At Any Time To Be Evaluated For Coronavirus Testing. Copays Are Waived For Patients In Need Of Covid-19 Testing. If You Come To The Clinic For A Test, Please Be Sure The Front Desk Gives You A Face Mask Immediately. Please Put On The Facemask As Soon As It Is Handed To You. Wearing A Facemask Is The Best Way To Limit Any Potential Transmission. They Will Test You For Other Types Of Infection First, Then They Will Test For Coronavirus (Covid-19) If You Are A Candidate.	-	Main Street Family Care	-	(256) 414-3013	Alabama	Https://Www.Mainstreetfamilycare.Com/Coronavirus-Testing/	35010	32.9	-85.9
-	809 University Blvd. E., Tuscaloosa, Al  35401; Parking Lot Just West Of The Regional Medical Center Campus	Tuscaloosa	Tuscaloosa	-	Drive-Thru	8 Am - 5 Pm Monday - Friday	You Will Be Screened At The Testing Site . Specimens Will Only Be Collected For Testing If The Individual Meets The Current Testing Recommendations:  Having Flu-Like Symptoms Such As Fever, Cough, Fatigue, Shortness Of Breath Or Body Aches And Close Contact With A Laboratory-Confirmed Coronavirus Patient Within 14 Days Of Symptom Onset.	-	Dch Regional Medical Center	-	(205) 759-7111	Alabama	Https://Www.Dchsystem.Com/Articles/Coronavirus_Update_And_Health_System_Preparations.Aspx	35401	33.17	-87.61
-	4700 Rice Mine Rd Northeast Tuscaloosa, Al 35406	Tuscaloosa	Tuscaloosa	-	Urgent Care	2Pm - 10 Pm Monday - Friday; 10Am - 8Pm Saturday - Sunday	Urgent Care For Children Is Now Offering To Perform Curbside Covid-19 Testing For Patients 0 To 21, Which Will Be Sent To A Third-Party Lab And Return Results Typically Within 24 Hours. Patients Must First Complete A Telemedicine Screening Before Being Tested For Covid-19. Please Call For Details.	-	Urgent Care For Children - Tuscaloosa	-	(205) 614-5628	Alabama	Https://Www.Childrensurgent.Com/Location/Tucaloosa/	35406	33.3	-87.5
