address	city	county	facilityType	hours	inQZ	instructions	lat	lng	name	phone	state	url	zip	zipCodeLat	zipCodeLng
4475 San Juan Ave, Jacksonville, Fl 32210	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32210	30.27	-81.75
3634 Rogero Road, Jacksonville, Fl 32277-2556	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32277	30.37	-81.58
430 State Highway 13, Jacksonville, Fl 32259	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32259	30.1	-81.6
4280 Southside Boulevard, Jacksonville, Fl 32216-5400	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32216	30.27	-81.58
120 S. Johns Commons Road, Jacksonville, Fl 32259	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32259	30.1	-81.6
5407 Blanding Boulevard Jacksonville, Fl 32210	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32210	30.27	-81.75
6005 Saint Augustine Road Jacksonville, Fl 32217	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32217	30.24	-81.62
9100 Atlantic Boulevard Jacksonville, Fl 32211	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32211	30.33	-81.59
50 Duval Station Road, Jacksonville, Fl 32218	Jacksonville	Duval	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Testing Site – By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32218	30.5	-81.7
1 Tiaa Bank Field Dr, Jacksonville, Fl 32202	Jacksonville	Duval	Drive-Thru	9Am-5Pm, Daily. While Supplies Lasts.	No	Testing Is Open To People Of All Ages Who Have Respiratory Symptoms Of Coronavirus, As Well As Health Care Workers And First Responders Who Have Had Direct Contact With Confirmed Cases. They Have Recently Lifted The Requirement That People Need To Have A Fever So That Everyone Age 65 Or Older Can Get Tested. Those Who Wish To Be Tested, Should Bring Their Own Pen And Their Id Card. Only 4 People In Each Vehicle Will Be Tested.	-	-	Lot J (At Tiaa Bank Field)	-	Florida	Https://Www.News4Jax.Com/News/Local/2020/03/29/Long-Lines-For-Covid-19-Drive-Thru-Testing-At-Lot-J/	32202	30.33	-81.65
4500 San Pablo Rd South, Jacksonville, Fl 32224	Jacksonville	Duval	Drive-Thru	8Am-2Pm, 7 Days A Week	-	Mayo Clinic: 4500 San Pablo Rd South, Jacksonville Will Be Available On Campus At Its Drive-Thru Specimen Collection From 8 A.M. To 2 P.M. Every Day, Including Weekends. To Qualify, Patients Need To Be An Established Mayo Patient And Be Screened First By A Mayo Provider To See If They Meet Testing Guidelines.	-	-	Mayo Clinic	-	Florida	Https://Www.Miamitimesonline.Com/Covid-19_Hub/Coronavirus-Drive-Thru-Testing-In-Florida/Article_Abef94Ac-8999-11Ea-92D3-C3D036A50D07.Html	32224	30.29	-81.47
1000 Water St, Jacksonville, Fl 32204	Jacksonville	Duval	Drive-Thru	11Am-7Pm, 7 Days A Week	-	"Please See Website For Details (Https://Telescopehealth.Com/Screening-And-Testing-Process/).
Before Coming To The Testing Site, Patients Must Complete A Telemedicine Screening And Receive A Physician Order Through The Virtual Health Platform Telescope Health. Physician Orders From Other Sources Will Not Be Accepted. The Drive-Thru Testing Site, Which Will Be Located Directly Behind The Prime Osborn Convention Center In The West Parking Lot, Will Launch Friday, March 20, At 11Am And Be Open Seven Days A Week From 11 A.M. To 7 P.M., Subject To Availability Of Supplies."	-	-	Prime Osborn Convention Center - West Parking Lot	(904) 373-5304	Florida	Https://Telescopehealth.Com/Screening-And-Testing-Process/	32204	30.32	-81.68
1 Shircliff Way, Jacksonville, Fl 32204	Jacksonville	Duval	Hospital	Open 24Hrs	No	Those Who Wish To Be Tested Must First Be Pre-Screened By A Primary Care Physician. If A Patient Meets The Guidelines Provided By The Centers For Disease Control And Prevention, Then That Patient Will Be Directed To A Testing Site.	-	-	St. Vincent'S Hospital	(904) 308-7300	Florida	Https://Healthcare.Ascension.Org/Specialty%20Care/Coronavirus	32204	30.32	-81.68
1000 Water St, Jacksonville, Fl 32204	Jacksonville	Duval	Virtual Screening	By Appointment Only	No	This Testing Site Is Open To Jacksonville Residents Only. Patients Need To Undergo Screening And Get An Appointment Through Telescope Health. Doctors Notes From Other Health Care Providers Are Not Accepted. To Complete The Screening, Just Visit Telescopehealth.Com . It Is Free Of Charge With Code Here4You.	-	-	Prime Osborn Convention Center	-	Florida	Https://Www.News4Jax.Com/News/Local/2020/03/29/Long-Lines-For-Covid-19-Drive-Thru-Testing-At-Lot-J/	32204	30.32	-81.68
470 S Hwy 29 Unit B, Cantonment, Fl 32533	Cantonment	Escambia	Drive-Thru	-	No	"All Patients Are Required To Be Pre-Screened Before Arriving At The Drive-Through Testing Centers By Calling The Ascension Sacred Heart Covid-19 Screening Call Center At 850-746-2684. The Screening Call Center Is Open Monday Through Friday From 8 A.M. To 10 P.M. 
The Hours Of Operation For The Drive-Through Testing Center For Covid-19 Are 9 A.M - 1 P.M.

If You Don’T Have A Health Care Provider Or Health Insurance, Call, Do Not Visit, Community Health Northwest Florida At 850-436-4630 Or Other Community Walk-In Locations, And Tell Them About Your Symptoms And Your Travel History Or Exposure To A Covid-19 Patient. They Will Determine If You Meet The Criteria For Testing."	-	-	Community Health Northwest Florida - Cantonment Pediatrics	-	Florida	Https://Myescambia.Com/Covid-19-Information-For-Escambia-County	32533	30.62	-87.32
3200 W De Soto Street, Pensacola, Fl 32505	Pensacola	Escambia	Drive-Thru	By Appointment Only.	No	Appointments Available Only After Pre-Screening By A Doctor. To Set Up A Pre-Screening, Call 850-746-2684.	-	-	Community Health Northwest Florida (Brownsville Community Center)	(850) 746-2684	Florida	Https://Www.Local10.Com/News/Local/2020/03/20/Map-Shows-Drive-Through-Testing-Locations-In-Florida/	32505	30.45	-87.26
1101 Scenic Highway, Pensacola, Fl 32503	Pensacola	Escambia	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32503	30.46	-87.21
44 Gulf Beach Highway, Pensacola, Fl 32507	Pensacola	Escambia	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	32507	30.3	-87.4
1270 Palm Coast Pkwy Nw, Palm Coast, Fl 32137	Palm Coast	Flagler	Urgent Care	8Am-8Pm, Monday-Friday. 8Am-5Pm, Saturday-Sunday	-	Appointment Or Referral Not Required. Testing For All Patients Is Available. Please Verify Testing Center Info Before You Go.	-	-	Adventhealth Centra Care Palm Coast	(386) 225-4631	Florida	Https://Centracare.Adventhealth.Com/Urgent-Care/Palm-Coast	32137	29.6	-81.2
346 Hwy 98, Eastpoint, Fl 32328	Eastpoint	Franklin	Drive-Thru	9Am-4Pm, Monday-Friday. 8Am-5Pm, Saturday-Sunday	-	"Pancare Health Is Conducting Covid-19 Testing In Panama City, Panama City Beach, Marianna, Bristol, Port St. Joe, And Eastpoint. Rapid Testing Is Available To Everyone At All Of Our Covid-19 Testing Sites By Appointment Only. There Are No Fees For Anyone For Any Services Provided At Our Testing Sites. For Persons With Insurance, We Will Bill Your Insurance. 

Our Covid-19 Response Line Team Is Available At (850) 215-4181
Monday-Friday 9 Am-4 Pm To Conduct A Phone Screening.

Our Dedicated Covid-19 Response Line Staff Want To Ensure Care For All Persons Who Call To Schedule An Appointment For Rapid Testing. Due To The High Call Volume, If Lines Are Busy Please Continue To Call Back."	-	-	Pancare Health - Eastpoint	(850) 215-4181	Florida	Https://Pancarefl.Org/Covid-19	32328	29.8	-84.9
2475 Garrison Avenue, Port St. Joe, Florida 32456	Port St Joe	Gulf	Drive-Thru	9Am-4Pm, Monday-Friday. 8Am-5Pm, Saturday-Sunday	-	"Pancare Health Is Conducting Covid-19 Testing In Panama City, Panama City Beach, Marianna, Bristol, Port St. Joe, And Eastpoint. Rapid Testing Is Available To Everyone At All Of Our Covid-19 Testing Sites By Appointment Only. There Are No Fees For Anyone For Any Services Provided At Our Testing Sites. For Persons With Insurance, We Will Bill Your Insurance. 

Our Covid-19 Response Line Team Is Available At (850) 215-4181
Monday-Friday 9 Am-4 Pm To Conduct A Phone Screening.

Our Dedicated Covid-19 Response Line Staff Want To Ensure Care For All Persons Who Call To Schedule An Appointment For Rapid Testing. Due To The High Call Volume, If Lines Are Busy Please Continue To Call Back."	-	-	Pancare Health Dental & Medical - St. Joe	(850) 215-4181	Florida	Https://Pancarefl.Org/Covid-19	32456	29.8	-85.3
2442 Bloomingdale Ave., Valrico, Fl 33596	Valrico	Hillsborough	Urgent Care	8Am - 8Pm, Monday - Saturday	No	Those Who Wish To Be Tested Must First Be Pre-Screened By A Primary Care Physician Or The State Health Department. If A Patient Meets The Guidelines Provided By The Centers For Disease Control And Prevention, Then That Patient Will Be Tested.	-	-	Baycare Urgent Care (Bloomingdale)	(813) 586-8686	Florida	Https://Baycare.Org/Coronavirus/Covid-19-Testing-Centers	33596	27.89	-82.23
17512 Dona Michelle Drive, Suite 5, Tampa, Fl 33647	Tampa	Hillsborough	Urgent Care	8Am - 8Pm, Monday - Saturday	No	Those Who Wish To Be Tested Must First Be Pre-Screened By A Primary Care Physician Or The State Health Department. If A Patient Meets The Guidelines Provided By The Centers For Disease Control And Prevention, Then That Patient Will Be Tested.	-	-	Baycare Urgent Care (New Tampa)	(813) 533-3494	Florida	Https://Baycare.Org/Coronavirus/Covid-19-Testing-Centers	33647	28.12	-82.35
3440 W. Dr. Mlk Jr. Blvd., Suite 100, Tampa, Fl 33607	Tampa	Hillsborough	Urgent Care	8Am - 8Pm, Monday - Saturday	No	Those Who Wish To Be Tested Must First Be Pre-Screened By A Primary Care Physician Or The State Health Department. If A Patient Meets The Guidelines Provided By The Centers For Disease Control And Prevention, Then That Patient Will Be Tested.	-	-	Baycare Urgent Care (Tampa)	(813) 559-1888	Florida	Https://Baycare.Org/Coronavirus/Covid-19-Testing-Centers	33607	27.96	-82.54
4401 West Gandy Boulevard, Tampa, Fl 33611	Tampa	Hillsborough	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33611	27.89	-82.51
2911 East Fowler Avenue, Tampa, Fl 33615	Tampa	Hillsborough	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33615	28.0	-82.58
5357 Ehrlich Road, Tampa, Fl 33618	Tampa	Hillsborough	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33618	28.08	-82.5
4120 #2 Henderson Boulevard, Tampa, Fl 33629	Tampa	Hillsborough	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33629	27.92	-82.51
611 South Howard Avenue, Tampa, Fl 33606	Tampa	Hillsborough	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33606	27.93	-82.46
5905 Us Highway 301 S, Riverview, Fl 33578	Riverview	Hillsborough	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33578	27.84	-82.35
715 Brandon Boulevard Brandon, Fl 33511	Brandon	Hillsborough	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33511	27.9	-82.3
1105 E. Kennedy Blvd Tampa, Fl 33602	Tampa	Hillsborough	Health Department	8Am - 5Pm, Monday - Friday	No	Those Who Wish To Be Tested Must First Be Pre-Screened By A Primary Care Physician Or The State Health Department. If A Patient Meets The Guidelines Provided By The Centers For Disease Control And Prevention, Then That Patient Will Be Tested.	-	-	Main Health Department	(813) 307-8000	Florida	Http://Www.Floridahealth.Gov/Programs-And-Services/County-Health-Departments/Index.Html	33602	27.95	-82.46
4201 N Dale Mabry Highway, Tampa, Fl 33607	Tampa	Hillsborough	Drive-Thru	Opens 9Am, Daily Until Test Kits Run Out.	No	Must Be Pre-Screened To Get A Test At The Site. For Pre-Screening, Call The Hillsborough County Customer Service Center At 813-272-5900. The Site Received 900 Kits From The Feds; Once Those Test Kits Run Out, The Site Will Close Until Additional Kits Are Sent.	-	-	Hillsborough County Dept Of Health (Raymond James Stadium)	(813) 272-5900	Florida	Https://Www.Local10.Com/News/Local/2020/03/20/Map-Shows-Drive-Through-Testing-Locations-In-Florida/	33607	27.96	-82.54
7351 West Hillsborough Avenue	Tampa	Hillsborough	Drive-Thru	See Website For Available Appointment Times	-	Rapid Covid-19 Testing Will Be Available To Eligible Individuals Who Meet Criteria Established By The Centers For Disease Control And Prevention, In Addition To State Residency And Age Guidelines (Must Be 18 Or Older). Patients Will Need To Pre-Register In Advance On-Line At Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing In Order To Schedule A Slot To Be Tested. When Patients Arrive At The Test Site, They Are Required Stay In Their Vehicle. Team Members On Site Will Check Their Registration And Direct Them Through The Testing Process. For The Safety Of Patients And Health Care Providers On Site, Testing Is Limited To Drive-Thru Testing Only. For More Information About Test Site Locations, Hours Of Operations, And How To Register For A Test, Please Visit Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing.	-	-	Cvs Health Covid-19 Drive Thru Testing Site - By Appointment Only	-	Florida	Https://Www.Cvs.Com/Minuteclinic/Covid-19-Testing	33634	28.0	-82.54
